Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65520," ",999863.845831,112322.606269,139.461629,0.056301,0.052040,0.367001,"1,2,3,4",0.003561,0.134043,15.194430,1.119555,1.369787,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.374923,"1,2,3,4"
65521," ",999792.205361,112382.950674,139.431121,0.106465,0.057603,0.560921,"2,3,4",0.003236,0.121801,13.485233,0.657453,0.879591,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.573833,"2,3,4"
65523," ",999886.713194,112279.264038,140.894467,0.059949,0.057628,0.445082,"1,3,4",0.005741,0.216078,14.935306,1.135761,1.587227,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.452784,"1,3,4"
65533," ",1000148.413399,112493.518993,137.600584,0.075238,0.069113,0.450318,"1,3,4",0.006897,0.259577,14.547044,1.306869,1.671288,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.461761,"1,3,4"
65539," ",999833.746112,112478.040744,142.991022,0.095336,0.060515,0.558571,"2,3,4",0.002171,0.081729,13.551486,0.926704,1.291850,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.569870,"2,3,4"
65541," ",999829.347739,112326.414097,139.161633,0.096841,0.062600,0.560635,"2,3,4",0.005760,0.216803,13.489924,1.568766,1.658358,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.572371,"2,3,4"
65546," ",1000294.618841,112450.164118,140.316915,0.088242,0.057054,0.557104,"2,3,4",0.002176,0.081905,13.567800,0.440920,0.503262,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.566928,"2,3,4"
65550," ",1000296.675936,112479.903887,138.136005,0.088810,0.059651,0.559445,"2,3,4",0.001359,0.051146,13.544123,0.270972,0.373946,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.569583,"2,3,4"
65554," ",1000185.263946,112219.962939,140.120411,0.057976,0.063339,0.474469,"3,4,5",0.002746,0.103355,13.433017,0.807078,1.092229,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.482176,"3,4,5"
65555," ",999963.059717,112196.113399,138.795987,0.054357,0.054886,0.299837,"1,3,4,5",0.007030,0.264607,25.653297,1.279131,1.569351,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.309628,"1,3,4,5"
65558," ",1000152.201127,112331.360479,161.390518,0.061813,0.061848,0.544064,"2,3,4",0.005129,0.193040,13.772311,0.939441,1.215328,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.551046,"2,3,4"
65561," ",1000514.227280,112419.928173,137.340630,0.149011,0.057361,0.568383,"2,3,4",0.004612,0.173575,13.250878,1.318824,1.732718,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.590384,"2,3,4"
65573," ",999788.718911,112325.711750,140.340504,0.107572,0.062988,0.561559,"2,3,4",0.006558,0.246811,13.455635,1.221726,1.539798,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.575229,"2,3,4"
65578," ",1000038.165716,112212.404129,140.216224,0.074455,0.089389,1.074772,"3,4",0.005346,0.201200,6.956363,1.175623,1.176913,3,SurfaceDefault,Default, ,SmartPoint,yes,no,1.081050,"3,4"
65580," ",1000374.086991,112510.055535,147.607195,0.108492,0.063983,0.557066,"2,3,4",0.007274,0.273793,13.518027,1.333597,1.660728,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.571128,"2,3,4"
65582," ",1000512.848812,112516.435315,156.344163,0.147652,0.066072,0.558852,"2,3,4",0.002325,0.087502,13.362949,1.341793,1.795347,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.581792,"2,3,4"
65584," ",1000566.908156,112388.038191,145.297143,0.110278,0.060289,0.476027,"3,4,5",0.004477,0.168501,13.389101,1.357515,1.655408,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.492339,"3,4,5"
65587," ",1000358.892724,112131.310868,138.406213,0.070654,0.078096,0.486227,"3,4,5",0.005953,0.224043,13.485532,1.265376,1.796172,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.497501,"3,4,5"
65588," ",999695.537206,112201.485630,147.493974,0.087522,0.066277,0.453695,"1,3,4",0.003301,0.124252,14.878239,0.626163,0.760983,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.466789,"1,3,4"
65593," ",999879.094052,112141.756616,138.485552,0.061417,0.073796,0.454426,"1,3,4",0.003195,0.120264,14.854598,0.696898,0.936027,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.464457,"1,3,4"
65598," ",999911.335150,112162.923629,150.644145,0.059512,0.070455,0.448538,"1,3,4",0.002781,0.104652,14.956175,0.581273,0.816948,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.457921,"1,3,4"
65602," ",1000531.258685,112319.602031,156.662866,0.153369,0.065167,0.560563,"2,3,4",0.001158,0.043576,13.288501,0.750476,1.016278,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.584808,"2,3,4"
65604," ",999814.516080,112161.836515,145.217852,0.068270,0.070957,0.452650,"1,3,4",0.006533,0.245877,14.928966,1.197771,1.497291,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.463236,"1,3,4"
65606," ",1000417.315180,112351.549241,137.071396,0.079440,0.057232,0.475446,"3,4,5",0.008242,0.310226,13.523437,1.551888,1.945082,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.485423,"3,4,5"
65608," ",1000117.524074,112102.898357,146.284391,0.071709,0.080236,0.456863,"1,3,4",0.004679,0.176090,14.537067,1.230483,1.732429,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.469365,"1,3,4"
65609," ",999787.109667,112330.559946,140.905489,0.107974,0.062368,0.561157,"2,3,4",0.005074,0.190976,13.456560,1.195598,1.536525,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.574843,"2,3,4"
65610," ",1000320.107861,112355.959425,138.890772,0.064680,0.062901,0.444602,"2,3,5",0.004885,0.183842,15.593838,1.510334,1.731517,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.453664,"2,3,5"
65614," ",999897.752313,112153.277361,147.407675,0.060232,0.071928,0.450500,"1,3,4",0.002282,0.085892,14.929644,0.443767,0.556049,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.460165,"1,3,4"
65619," ",1000305.081137,112339.042158,137.789581,0.090900,0.060549,0.560045,"2,3,4",0.002586,0.097342,13.492998,1.449836,2.000664,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.570595,"2,3,4"
65620," ",1000217.814214,112115.988127,142.995237,0.058508,0.080448,0.481905,"3,4,5",0.003815,0.143592,13.402193,0.959337,1.262337,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.492064,"3,4,5"
65622," ",999896.422512,112281.001962,138.527772,0.059249,0.057465,0.445624,"1,3,4",0.004287,0.161354,14.913505,1.283853,1.687861,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.453203,"1,3,4"
65627," ",1000193.333476,112119.564789,138.640266,0.058432,0.079734,0.482313,"3,4,5",0.005565,0.209465,13.342024,1.133755,1.555734,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.492339,"3,4,5"
65639," ",1000139.027717,112384.467722,140.411146,0.050727,0.049011,0.370882,"2,3,4,5",0.005373,0.202243,15.552631,1.110287,1.498130,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.377530,"2,3,4,5"
65664," ",999917.495452,112158.060872,153.694918,0.059382,0.071284,0.448014,"1,3,4",0.005478,0.206196,14.974777,1.244860,1.564536,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.457519,"1,3,4"
65665," ",999845.444712,112333.743906,143.939768,0.092646,0.061618,0.557070,"2,3,4",0.003084,0.116084,13.548207,0.578187,0.779880,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.568073,"2,3,4"
65666," ",1000148.850727,112448.034942,158.858640,0.061315,0.057310,0.544206,"2,3,4",0.003739,0.140733,13.802123,0.778077,1.076451,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.550640,"2,3,4"
65674," ",1000036.251448,112234.884657,141.736081,0.061404,0.060705,0.444857,"1,3,4",0.004150,0.156182,14.788532,0.979198,1.142552,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.453159,"1,3,4"
65675," ",1000334.871342,112345.485379,141.021481,0.066303,0.056562,0.472593,"3,4,5",0.004022,0.151384,13.577628,1.156862,1.566133,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.480561,"3,4,5"
65683," ",1000512.820339,112500.166189,144.779356,0.148159,0.063457,0.565144,"2,3,4",0.002867,0.107899,13.301327,0.949030,1.112069,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.587678,"2,3,4"
65688," ",999922.994213,112338.726980,139.773711,0.074861,0.060532,0.557095,"2,3,4",0.005569,0.209598,13.583606,1.132810,1.518566,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.565352,"2,3,4"
65694," ",1000078.981821,112263.073590,139.044165,0.067103,0.058680,0.473121,"3,4,5",0.005659,0.212985,13.273798,1.338990,1.723144,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.481446,"3,4,5"
65696," ",999968.644543,112120.545595,140.797673,0.087350,0.079916,0.488355,"3,4,5",0.005866,0.220787,12.859531,1.184000,1.520122,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.502501,"3,4,5"
65697," ",999972.314741,112187.506993,149.078878,0.058440,0.066627,0.445878,"1,3,4",0.002617,0.098488,14.907044,0.848337,0.993413,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.454601,"1,3,4"
65699," ",1000492.742667,112466.019019,149.761330,0.084607,0.052529,0.380172,"2,3,4,5",0.004156,0.156417,15.583341,1.151635,1.438368,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.392999,"2,3,4,5"
65700," ",1000257.642843,112340.895841,148.321281,0.079728,0.060269,0.552090,"2,3,4",0.007067,0.265985,13.618569,1.414679,1.978880,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.561063,"2,3,4"
65716," ",999956.031195,112361.601687,145.302289,0.068552,0.058162,0.552690,"2,3,4",0.004462,0.167955,13.651470,1.256833,1.454390,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.559954,"2,3,4"
