Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
52," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142588,0.428450,0.000394,0.001091,0.001091,0.001318,0.002029,0.028078,0.000511,86.473565, ,0.197802,0.337192,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
53," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999787,0.428447,0.000205,0.000990,0.000990,0.001146,0.001809,0.021237,0.000386,87.905815, ,0.155208,0.390091,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
54," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143362,0.428492,0.001916,0.000906,0.000906,0.000997,0.001624,0.021925,0.000399,87.426461, ,0.169031,0.299557,11,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
55," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.286027,0.428514,0.000333,0.000846,0.000846,0.000885,0.001488,0.013046,0.000237,88.730044, ,0.119141,0.171225,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
56," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428746,0.428562,0.000290,0.000814,0.000814,0.000823,0.001415,0.016931,0.000308,89.549774, ,0.134514,0.213848,20,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
57," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856939,0.428514,0.000047,0.000906,0.000906,0.000998,0.001624,0.023583,0.000429,88.908947, ,0.134481,0.295511,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
58," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714185,0.428485,0.001072,0.000846,0.000846,0.000885,0.001488,0.019767,0.000359,89.569948, ,0.151317,0.254985,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
59," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571582,0.428488,0.002776,0.000814,0.000814,0.000823,0.001415,0.025763,0.000468,89.919255, ,0.182235,0.376175,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
60," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142558,0.285695,-0.001034,0.001115,0.001115,0.001357,0.002081,0.027618,0.000502,85.967515, ,0.206861,0.417074,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
61," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142400,0.285642,0.000810,0.001115,0.001115,0.001357,0.002081,0.047514,0.000864,83.737924, ,0.248715,0.490133,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
62," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000461,0.285676,0.000491,0.001016,0.001016,0.001191,0.001866,0.027282,0.000496,85.386502, ,0.197528,0.430732,11,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
63," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999778,0.285656,-0.000536,0.001016,0.001016,0.001191,0.001866,0.018533,0.000337,87.435721, ,0.155410,0.327903,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
64," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143210,0.285785,0.000528,0.000935,0.000935,0.001049,0.001688,0.018319,0.000333,86.833022, ,0.147881,0.311821,13,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
65," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.285984,0.285766,-0.000154,0.000876,0.000876,0.000943,0.001557,0.013206,0.000240,88.013948, ,0.101424,0.186955,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
66," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856924,0.285727,-0.000402,0.000935,0.000935,0.001049,0.001688,0.020546,0.000374,88.456685, ,0.133920,0.331704,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
67," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428732,0.285823,0.000079,0.000846,0.000846,0.000885,0.001488,0.015556,0.000283,88.804928, ,0.113807,0.287769,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
68," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714080,0.285774,-0.000125,0.000876,0.000876,0.000943,0.001557,0.020974,0.000381,89.039713, ,0.132581,0.318958,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
69," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571542,0.285730,0.001547,0.000846,0.000846,0.000885,0.001488,0.021019,0.000382,89.201742, ,0.184202,0.372515,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
70," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142601,0.142749,-0.000937,0.001162,0.001162,0.001433,0.002180,0.031770,0.000578,85.068499, ,0.234881,0.425313,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
71," ","1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21",-0.142460,0.142765,0.000356,0.001162,0.001162,0.001433,0.002180,0.031686,0.000576,82.689861, ,0.236308,0.425295,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21",255,255,255
