# Mark points for DBAT camera calibration demo
# Format: image id, point id, x, y, sxy
 4,   56, 1215.5928,  965.4218, 0.1
 4,   41, 1050.1642,  960.0409, 0.1
 4,   32,  863.0228,  953.3238, 0.1
 4,   23,  651.6234,  945.2603, 0.1
 4,   17,  414.2572,  935.7003, 0.1
 4,   88, 1759.2626,  899.0250, 0.1
 4, 1004, 1663.0097,  891.9939, 0.1
 4,   74, 1553.7833,  883.9549, 0.1
 4,   68, 1431.4353,  875.1269, 0.1
 4,   59, 1295.9348,  865.0235, 0.1
 4,   43, 1139.3440,  853.6017, 0.1
 4,   33,  962.8293,  840.6999, 0.1
 4,   21,  764.4395,  825.9964, 0.1
 4,   80, 1713.4328,  811.2894, 0.1
 4, 1001,  541.1743,  809.3490, 0.1
 4,   72, 1611.8087,  799.2103, 0.1
 4,   66, 1496.2149,  785.7596, 0.1
 4,    8,  290.6419,  790.4740, 0.1
 4,   58, 1367.9543,  770.8754, 0.1
 4,   49, 1224.2778,  753.8660, 0.1
 4,   34, 1056.8903,  735.3225, 0.1
 4,   70, 1665.1655,  719.3318, 0.1
 4,   20,  871.0801,  714.5606, 0.1
 4,   63, 1556.8607,  701.8504, 0.1
 4,   14,  661.4663,  691.4445, 0.1
 4,   57, 1435.5949,  682.5714, 0.1
 4,   47, 1300.4221,  660.9508, 0.1
 4,    6,  426.5089,  665.6899, 0.1
 4,   36, 1147.2711,  636.8523, 0.1
 4,   60, 1613.1915,  623.0785, 0.1
 4,   22,  970.9266,  610.7656, 0.1
 4,   53, 1499.6125,  599.9006, 0.1
 4,   12,  774.7449,  581.8486, 0.1
 4,   44, 1371.4492,  574.1701, 0.1
 4,   37, 1228.3220,  545.6850, 0.1
 4,    4,  554.3998,  549.8670, 0.1
 4,   52, 1559.3873,  522.5234, 0.1
 4,   24, 1065.4218,  514.3180, 0.1
 4,   46, 1439.0939,  493.1226, 0.1
 4,   13,  880.7445,  480.3192, 0.1
 4,   35, 1303.3314,  460.9655, 0.1
 4,    2,  674.1456,  442.9694, 0.1
 4,   26, 1152.3094,  425.1975, 0.1
 4,   48, 1502.7376,  417.5206, 0.1
 4,   15,  980.1985,  386.3676, 0.1
 4,   38, 1373.6477,  382.3212, 0.1
 4,   27, 1231.7756,  342.9621, 0.1
 4,    3,  786.7271,  344.1512, 0.1
 4,   39, 1442.0263,  308.4583, 0.1
 4,   16, 1071.5342,  300.1912, 0.1
 4,   28, 1306.5662,  266.7231, 0.1
 4,    5,  891.7058,  253.2642, 0.1
 4,   18, 1156.8406,  220.4928, 0.1
 4,   29, 1375.8295,  196.0703, 0.1
 4,    7,  988.4010,  170.2310, 0.1
 4, 1002, 1236.4396,  146.8528, 0.1
 4,    9, 1078.6537,   93.5783, 0.1
 4,   19, 1309.0328,   79.2073, 0.1
 4,   10, 1161.3232,   23.5280, 0.1
 5,   71, 1706.9391, 1404.2815, 0.1
 5,   61, 1482.4498, 1403.6429, 0.1
 5,   90, 2149.9919, 1402.0343, 0.1
 5,   81, 1929.7138, 1402.4709, 0.1
 5,   50, 1256.6321, 1401.2949, 0.1
 5,   42, 1031.7337, 1394.6803, 0.1
 5,   30,  811.6768, 1389.9522, 0.1
 5,   25,  596.9389, 1380.9018, 0.1
 5,   17,  389.5772, 1371.1960, 0.1
 5,    8,  189.7586, 1361.9903, 0.1
 5,   73, 1689.5308, 1201.0504, 0.1
 5,   92, 2109.5715, 1199.8386, 0.1
 5, 1003, 1901.0891, 1200.4238, 0.1
 5,   62, 1475.3779, 1200.2449, 0.1
 5,   51, 1259.8110, 1198.2209, 0.1
 5,   45, 1045.0117, 1193.0377, 0.1
 5,   31,  834.1718, 1190.0507, 0.1
 5,   23,  628.6883, 1184.2873, 0.1
 5, 1001,  430.7777, 1178.3915, 0.1
 5,    6,  239.5127, 1171.3794, 0.1
 5,   94, 2072.2109, 1015.8728, 0.1
 5,   83, 1873.9028, 1015.4987, 0.1
 5,   75, 1672.5859, 1014.4240, 0.1
 5,   64, 1468.0580, 1013.8504, 0.1
 5,   54, 1262.4929, 1011.1599, 0.1
 5,   40, 1057.5827, 1009.7039, 0.1
 5,   32,  855.7920, 1006.7818, 0.1
 5,   21,  659.3149, 1004.0052, 0.1
 5,   14,  469.2908, 1000.5716, 0.1
 5,    4,  286.0341,  996.5110, 0.1
 5,   95, 2036.9277,  848.5719, 0.1
 5,   84, 1847.8635,  846.8933, 0.1
 5,   77, 1655.7174,  844.7818, 0.1
 5,   65, 1460.6120,  844.0768, 0.1
 5,   55, 1264.6140,  842.4013, 0.1
 5,   41, 1069.0683,  840.6870, 0.1
 5,   33,  876.4823,  839.6918, 0.1
