# Image measurements for the Roma bundle demos in DBAT.
# Format: Image id, OP id, x, y
 1,  646,3139.9834,1585.1440
 1,  647,3044.2134, 565.7010
 1,30690,2965.4890,1507.1915
 1,  649,3005.1692,1820.9324
 1,  650,1866.9126,2733.4119
 1,  651,4165.5747,2027.0508
 1,31915,3009.2590,1788.2981
 1,  653,3120.6348,1613.6638
 1,  654,1927.1216,2314.5720
 1,31194,2347.8633,1629.0156
 1,  656,4178.1846,1924.9059
 1,  657,4130.2954,1780.6768
 1,  658,4319.7368,2529.9136
 1,28264,2330.9448,1214.0071
 1,  660,4184.2925,2081.7627
 1,30038,3767.6150,1204.2487
 1,  662,3520.2056,2634.2007
 1,  663,3057.8369,1520.1239
 1,29532,2443.7412,1318.4788
 1,  665,2476.7036, 809.4204
 1,  666,4202.6953,2464.4941
 1,  667,3335.5791,2299.5166
 1,  668,1955.7223,1471.3967
 1,  669,4001.0598,1364.5553
 1,  670,3983.4761,1505.3258
 1,  671,3642.4224,1437.0715
 1,  672,1873.4928,2376.4365
 1,  673,4293.5938,1081.4778
 1,  674,3562.6042,2258.6821
 1,  675,4231.9258,2632.6941
 1,  676,3910.1794,2075.3665
 1,  677,1659.0731, 701.0408
 1,  678,4346.5405,1158.8781
 1,  679,3137.0496,1534.5984
 1,  680,2360.0847, 772.0359
 1,  681,2995.7148, 607.5788
 1,  682,3887.9697,1183.9229
 1,  683,3766.0769,1488.7095
 1,  684,2340.5337,1643.5209
 1,  685,4031.3760,1534.3026
 1,  687,3669.2876,2107.2188
 1,32915,3756.4045,1475.2214
 1,30552,2667.1033, 678.2943
 1,29931,2754.0371,1628.2301
 1,  691,3145.7249,1850.5012
 1,  692,2018.9087,1903.0398
 1,  693,3597.1892,2129.6782
 1,  694,2111.1499, 924.4281
 1,  695,3560.9050,2002.4171
 1,32081,3053.9819,1503.4203
 1,  698,3886.9131,1631.3407
 1,  699,4303.0698,2556.8735
 1,  700,2433.7012,1591.3075
 1,29791,1553.9189, 608.4599
 1,  702,2876.0142,1593.1876
 1,  703,2601.4873, 850.6019
 1,  704,4088.4502,1978.7708
 1,30720,2910.6702,1722.9719
 1,  706,2225.5056, 638.5782
 1,29321,2787.9980,1501.6654
 1,  708,3193.5208,2725.0610
 1,  710,3780.9292,1918.8844
 1,  711,3944.3445,1535.9023
 1,  712,3752.6614,2210.0388
 1,  714,3926.1733, 697.2921
 1,  715,2912.6252,1711.0618
 1,  716,2910.9331,1072.8265
 1,32521,3501.1658,1577.3467
 1,  718,4431.8169,2107.7168
 1,  719,2957.9609,1413.0922
 1,  720,1899.0483,2346.9607
 1,30090,2264.0999,1649.3098
 1,32055,2327.0891, 633.0049
 1,  723,4074.8323,1202.0725
 1,  724,3599.9229,1645.6361
 1,  725,3136.0488,1619.3292
 1,30650,2055.4026,1863.8521
 1,  727,2005.9656,1871.7708
 1,  728,4455.5864,2076.6973
 1,  729,2955.8418,1559.5530
 1,  730,2137.8591,1530.9264
 1,  731,4243.4194,2520.9954
 1,  732,4318.5366,2580.5234
 1,  733,4153.0356,2153.3181
 1,  734,4270.9819,1068.9637
 1,  735,2039.7656, 979.6451
 1,  736,3885.4824,1607.4835
 1,  737,3522.7244,2153.5718
 1,  738,3641.1304,2128.7786
 1,30006,3072.4441,1304.3009
 1,  740,3995.3176,1401.0503
 1,32731,3610.7771,1524.2012
 1,29778,3744.5896,1290.8135
 1,  744,3491.0034,1800.3347
 1,  745,4149.8965,2315.0469
 1,  746,2040.0341,1815.9749
 1,  747,4099.2925,1444.7520
 1,  748,1887.1237,1621.5874
 1,  749,2028.5726,1886.7063
 1,  750,2018.0234,1244.6517
 1,  751,3635.5259,2305.8062
 1,  752,4116.4424,1444.7831
 1,31321,2927.3982,1307.4663
 1,  754,3366.9260,2693.3381
 1,32885,2380.0464, 747.4794
 1,  756,3364.1428,1142.5540
 1,32286,3523.2705,1453.6971
 1,  758,4117.7373,1288.4568
 1,  759,3689.7461,1529.4182
 1,  760,3663.7644,1871.9203
 1,  761,3849.6748, 902.3765
 1,32089,3195.6191,1913.2332
 1,  763,4111.3027,2333.2319
 1,  764,2431.0815, 967.8104
 1,  765,3102.7681,1630.6169
 1,30360,2129.7344,1344.4423
 1,  767,2473.8540,1566.7982
 1,  768,3656.8406,1206.5947
 1,  769,3495.5493,2100.5933
 1,  770,1843.2756,2232.4653
 1,  771,4161.9673,2395.4722
 1,  772,3602.6248,2187.2522
 1,  773,3629.0056,2011.8175
 1,  774,2084.3435,1378.9937
 1,  775,2971.2480, 726.3000
 1,29721,2062.7637,1321.0583
 1,  778,2401.4678, 697.7108
 1,  779,4032.5625,2223.0784
 1,  780,4202.6309,2119.5322
 1,28716,1542.3683,1944.7642
 1,  782,2916.6819, 600.4031
 1,  783,1991.9473,1868.2615
 1,  784,3177.0134,1675.6665
 1,  785,2259.9177, 820.5322
 1,  786,1544.7219,1968.4172
 1,31566,2797.1482,1215.3052
 1,  788,4269.8608,2245.1433
 1,  789,3361.4438,2486.9846
 1,  790,3612.7700,2128.8042
 1,31714,1782.0378, 983.1797
 1,  792,2972.4763, 662.7542
 1,  793,3582.3257,1406.9380
 1,  794,3719.6033,2129.0815
 1,31449,3182.8552,1914.2820
 1,  796,3560.5947, 871.9601
 1,  797,3970.9336,1510.4086
 1,  798,1795.8096,1411.3472
 1,  799,2398.7988, 725.7155
 1,  800,2031.3196, 913.5166
 1,30043,2160.2214, 762.4384
 1,  802,4370.9722,1733.2227
 1,  803,3238.8428,1177.7433
 1,  804,4266.5483,1174.9208
 1,  805,3808.1985,1205.0911
 1,  806,2023.1132,1741.2281
 1,  807,2226.2632, 763.7832
 1,  808,2409.6682, 621.1277
 1,  809,3670.5813,1476.7700
 1,31396,2383.3555,1628.6667
 1,  811,4235.9126,1744.1418
 1,29020,2219.5808,1631.5498
 1,30744,3091.2202,1492.9390
 1,  814,4273.2427,2269.8447
 1,  815,4357.6328,1560.0234
 1,30329,2133.1687,1616.5792
 1,  817,2224.0547,1517.2063
 1,  818,3903.5562, 695.3159
 1,  819,4185.3584,2362.6721
 1,  820,4338.0537,1080.4379
