Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
66410," ",1000199.014276,112498.349581,138.514442,0.050485,0.052648,0.373631,"2,3,4,5",0.002368,0.089132,15.602132,0.467112,0.611496,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.380684,"2,3,4,5"
66556," ",1000057.944298,112262.411569,139.309017,0.050337,0.050522,0.292112,"1,3,4,5",0.003003,0.113036,25.847672,0.643629,0.949520,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.300692,"1,3,4,5"
66624," ",1000121.906609,112404.426877,139.465085,0.050445,0.049757,0.291824,"1,3,4,5",0.004853,0.182659,25.895119,1.644285,1.791922,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.300303,"1,3,4,5"
66626," ",1000144.686759,112573.870377,137.286749,0.052028,0.053581,0.300699,"1,2,3,5",0.007442,0.280115,25.692833,1.224484,1.811106,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.309835,"1,2,3,5"
66872," ",1000072.304632,112144.355770,139.020240,0.051063,0.058850,0.300220,"1,3,4,5",0.007558,0.284480,25.699205,1.482576,1.894492,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.310166,"1,3,4,5"
65231," ",1000472.196479,112450.955788,138.336211,0.089684,0.064961,0.474401,"3,4,5",0.003372,0.126929,13.425924,1.113802,1.439840,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.487155,"3,4,5"
65235," ",1000276.048389,112514.443302,137.595374,0.059748,0.073594,0.473063,"3,4,5",0.001844,0.069419,13.456815,0.412991,0.578658,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.482467,"3,4,5"
65239," ",1000463.271104,112442.054319,136.702823,0.087875,0.063832,0.474630,"3,4,5",0.007693,0.289529,13.430245,1.445243,1.774291,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.486899,"3,4,5"
65246," ",1000355.193090,112430.552200,139.381146,0.103166,0.056138,0.557042,"2,3,4",0.006394,0.240640,13.492887,1.184099,1.485348,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.569290,"2,3,4"
65253," ",1000187.665290,112262.187181,139.820842,0.057437,0.058612,0.470457,"3,4,5",0.005383,0.202596,13.460155,1.328102,1.569488,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.477560,"3,4,5"
65257," ",1000167.548945,112515.981106,138.445780,0.078088,0.072356,0.450914,"1,3,4",0.006032,0.227018,14.498143,1.227902,1.707787,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.463311,"1,3,4"
65265," ",999590.677291,112346.331560,140.726649,0.164989,0.062185,0.569564,"2,3,4",0.000861,0.032422,13.166328,0.303978,0.406306,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.596231,"2,3,4"
65269," ",1000474.895637,112408.720565,136.385147,0.090161,0.060553,0.474512,"3,4,5",0.005702,0.214606,13.438344,1.227990,1.467571,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.486783,"3,4,5"
65276," ",1000479.360567,112187.940052,140.075024,0.091607,0.069143,0.482477,"3,4,5",0.001248,0.046970,13.491680,0.232408,0.295696,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.495940,"3,4,5"
65278," ",1000313.998235,112125.966555,138.702001,0.064413,0.078529,0.483037,"3,4,5",0.002847,0.107165,13.468108,0.712345,0.837446,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.493600,"3,4,5"
65288," ",1000314.093876,112508.237416,136.982203,0.063879,0.056965,0.445350,"2,3,5",0.007990,0.300734,15.638069,1.575974,1.845698,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.453500,"2,3,5"
65297," ",1000090.988599,112076.276303,144.682488,0.066408,0.088059,0.481348,"3,4,5",0.004669,0.175748,13.140415,0.889345,1.136997,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.493822,"3,4,5"
65298," ",1000473.600877,112421.157751,137.164327,0.136362,0.056755,0.563821,"2,3,4",0.005113,0.192447,13.310643,0.985815,1.332671,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.582846,"2,3,4"
65299," ",1000569.681175,112206.833322,139.233893,0.111078,0.067518,0.485249,"3,4,5",0.007559,0.284488,13.386462,1.444177,1.906647,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.502358,"3,4,5"
65304," ",999868.730479,112494.197195,139.830351,0.086388,0.061843,0.557640,"2,3,4",0.005735,0.215835,13.548933,1.169363,1.373991,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.567671,"2,3,4"
65312," ",1000405.898262,112483.030407,138.118243,0.117005,0.060241,0.561116,"2,3,4",0.006562,0.246982,13.414006,1.258604,1.716075,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.576342,"2,3,4"
65322," ",1000478.632112,112402.888011,136.685210,0.137887,0.056863,0.564498,"2,3,4",0.003747,0.141011,13.296777,0.829516,1.099198,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.583870,"2,3,4"
65323," ",1000058.418940,112247.918235,140.384918,0.063134,0.059185,0.442911,"1,3,4",0.005954,0.224092,14.748203,1.208101,1.489484,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.451286,"1,3,4"
65325," ",1000345.977319,112195.831495,140.019377,0.068035,0.066981,0.478028,"3,4,5",0.004024,0.151436,13.536113,0.990227,1.198366,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.487469,"3,4,5"
