Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65288," ",1000314.094853,112508.237334,136.978663,0.063592,0.056710,0.443384,"2,3,5",0.007995,0.300900,15.636655,1.576891,1.847533,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.451497,"2,3,5"
65297," ",1000090.988887,112076.276585,144.678922,0.066112,0.087668,0.479224,"3,4,5",0.004668,0.175706,13.139364,0.889214,1.136385,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.491642,"3,4,5"
65298," ",1000473.601912,112421.157299,137.156775,0.135748,0.056500,0.561314,"2,3,4",0.005128,0.193013,13.310079,0.988692,1.336889,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.580253,"2,3,4"
65299," ",1000569.681800,112206.832570,139.224660,0.110584,0.067216,0.483109,"3,4,5",0.007549,0.284139,13.385400,1.442328,1.903376,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.500141,"3,4,5"
65304," ",999868.731233,112494.197991,139.829923,0.086007,0.061567,0.555158,"2,3,4",0.005723,0.215396,13.548350,1.167592,1.371873,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.565144,"2,3,4"
65312," ",1000405.899514,112483.030120,138.111143,0.116476,0.059971,0.558621,"2,3,4",0.006547,0.246405,13.413429,1.256402,1.713526,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.573778,"2,3,4"
65322," ",1000478.633081,112402.887550,136.677650,0.137266,0.056607,0.561989,"2,3,4",0.003748,0.141066,13.296248,0.830692,1.101409,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.581272,"2,3,4"
65323," ",1000058.419540,112247.918717,140.383941,0.062849,0.058919,0.440911,"1,3,4",0.005957,0.224225,14.748743,1.208721,1.491043,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.449248,"1,3,4"
65325," ",1000345.977560,112195.831382,140.014902,0.067729,0.066682,0.475918,"3,4,5",0.004018,0.151230,13.535056,0.989070,1.196946,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.485316,"3,4,5"
65331," ",1000148.815901,112299.656127,149.745973,0.059187,0.056155,0.462856,"3,4,5",0.006516,0.245253,13.494018,1.528280,1.778643,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.469992,"3,4,5"
65332," ",1000232.309934,112471.603730,140.441596,0.057019,0.066413,0.467362,"3,4,5",0.005831,0.219479,13.490300,1.115526,1.401360,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.475489,"3,4,5"
65338," ",1000252.175439,112229.912501,140.721485,0.058206,0.061794,0.471040,"3,4,5",0.005423,0.204116,13.514212,1.341262,1.574523,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.478628,"3,4,5"
65339," ",1000215.521798,112253.722384,140.036903,0.056963,0.059174,0.469194,"3,4,5",0.006177,0.232483,13.484927,1.300850,1.770719,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.476329,"3,4,5"
65341," ",999838.490145,112170.431658,153.003257,0.064902,0.069148,0.445330,"1,3,4",0.004642,0.174717,15.006123,1.332409,1.542654,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.455316,"1,3,4"
65343," ",1000149.473673,112497.957382,139.728353,0.074725,0.069135,0.445446,"1,3,4",0.003666,0.137984,14.557629,0.809276,1.083363,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.456930,"1,3,4"
65353," ",1000166.173259,112282.863319,149.772339,0.077689,0.056692,0.438057,"1,3,4",0.004624,0.174044,14.605327,1.010707,1.289498,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.448490,"1,3,4"
65354," ",1000312.663541,112542.609249,137.766474,0.092096,0.068433,0.559020,"2,3,4",0.001579,0.059427,13.484899,0.320979,0.453312,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.570673,"2,3,4"
65367," ",999950.738916,112322.614104,140.379093,0.068928,0.061974,0.551812,"2,3,4",0.000966,0.036351,13.583361,0.881058,1.245421,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.559543,"2,3,4"
